Employee_Name,EmpID,EmpStatusID,Salary,Termd,DOB,Gender,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Becker, Scott",10277,3.0,53250,0,4/6/1979,M,Single,US Citizen,7/8/2013,,Fully Meets,4.2,4,0,0,13
"Bernstein, Sean",10046,1.0,51044,0,12/22/1970,M,Single,US Citizen,4/2/2012,,Fully Meets,5.0,3,0,0,13
"Biden, Lowan  M",10226,1.0,64919,0,12/27/1958,F,Divorced,US Citizen,8/19/2013,,Fully Meets,4.2,3,0,0,2
"Billis, Helen",10003,1.0,62910,0,9/1/1989,F,Married,US Citizen,7/7/2014,,Exceeds,5.0,3,0,0,19
"Blount, Dianna",10294,1.0,66441,0,9/21/1990,F,Single,US Citizen,4/4/2011,,Needs Improvement,2.0,3,0,2,3
"Bondwell, Betsy",10267,5.0,57815,1,1/16/1967,F,Single,US Citizen,1/10/2011,4/4/2014,Fully Meets,4.8,5,0,0,5
"Booth, Frank",10199,4.0,103613,1,7/30/1964,M,Single,US Citizen,2/17/2014,2/19/2016,Fully Meets,3.5,5,7,0,2
"Boutwell, Bonalyn",10081,1.0,106367,0,4/4/1987,F,Married,US Citizen,2/16/2015,,Fully Meets,5.0,4,3,0,4
"Bozzi, Charles",10175,5.0,74312,1,3/10/1970,M,Single,US Citizen,9/30/2013,8/7/2014,Fully Meets,3.39,3,0,0,14
"Brill, Donna",10177,5.0,53492,1,8/24/1990,F,Married,US Citizen,4/2/2012,6/15/2013,Fully Meets,3.35,4,0,0,6
"Brown, Mia",10238,1.0,63000,0,11/24/1987,F,Married,US Citizen,10/27/2008,,Fully Meets,4.5,2,6,0,14
"Buccheri, Joseph  ",10184,1.0,65288,0,7/28/1983,M,Single,,9/29/2014,,Fully Meets,3.19,3,0,0,9
"Bugali, Josephine ",10203,3.0,64375,0,10/30/1969,F,Separated,US Citizen,11/11/2013,,Fully Meets,3.5,5,0,0,17
"Bunbury, Jessica",10188,5.0,74326,1,6/1/1964,F,Married,Eligible NonCitizen,8/15/2011,8/2/2014,Fully Meets,3.14,5,0,1,19
"Burke, Joelle",10107,1.0,63763,0,3/2/1980,F,Single,US Citizen,3/5/2012,,Fully Meets,4.51,4,0,0,3
"Burkett, Benjamin ",10181,1.0,62162,0,8/19/1977,M,Married,US Citizen,4/4/2011,,Fully Meets,3.25,5,0,0,15
"Cady, Max ",10150,1.0,77692,0,11/22/1966,M,Single,US Citizen,8/15/2011,,Fully Meets,3.84,3,5,0,4
"Candie, Calvin",10001,1.0,72640,0,8/9/1983,M,Single,US Citizen,1/28/2016,,Exceeds,5.0,3,0,0,14
"Carabbio, Judith",10085,1.0,93396,0,4/5/1987,F,Single,US Citizen,11/11/2013,,Fully Meets,4.96,4,6,0,3
"Carey, Michael  ",10115,1.0,52846,0,2/2/1983,M,Single,US Citizen,3/31/2014,,Fully Meets,4.43,3,0,0,14
"Carr, Claudia  N",10082,2.0,100031,0,6/6/1986,F,Single,US Citizen,6/30/2016,,Fully Meets,5.0,5,6,0,7
"Carter, Michelle ",10040,1.0,71860,0,5/15/1963,F,,US Citizen,8/18/2014,,Fully Meets,5.0,5,0,0,7
"Chace, Beatrice ",10067,1.0,61656,0,1/2/1951,F,Single,US Citizen,9/29/2014,,Fully Meets,5.0,4,0,0,11
"Champaigne, Brian",10108,1.0,110929,0,2/9/1972,M,Married,US Citizen,9/6/2016,,Fully Meets,4.5,5,7,0,8
"Chan, Lin",10210,1.0,54237,0,2/12/1979,F,Single,US Citizen,5/12/2014,,Fully Meets,3.3,4,0,0,11
"Chang, Donovan  E",10154,1.0,60380,0,8/24/1983,M,Single,US Citizen,7/8/2013,,Fully Meets,3.8,5,0,0,4
"Chigurh, Anton",10200,1.0,66808,0,6/11/1970,M,Single,Eligible NonCitizen,5/14/2012,,Fully Meets,3.0,5,0,0,17
"Chivukula, Enola",10240,5.0,64786,1,8/27/1983,F,Single,US Citizen,6/27/2011,11/15/2015,Fully Meets,4.3,4,0,0,3
"Cierpiszewski, Caroline  ",10168,1.0,64816,0,5/31/1988,F,Single,Non-Citizen,10/3/2011,,Fully Meets,3.58,5,0,0,3
"Clayton, Rick",10220,1.0,68678,0,9/5/1985,M,Single,US Citizen,9/5/2012,,Fully Meets,4.7,3,6,0,2
"Cloninger, Jennifer",10275,5.0,64066,1,8/31/1981,F,Married,US Citizen,5/16/2011,1/7/2013,Fully Meets,4.2,5,0,0,9
"Close, Phil",10269,5.0,59369,1,11/25/1978,M,Married,US Citizen,8/30/2010,9/26/2011,Fully Meets,4.2,4,0,0,6
"Clukey, Elijian",10029,2.0,50373,0,8/26/1980,M,Married,US Citizen,7/6/2016,,Exceeds,4.1,4,0,0,5
"Cockel, James",10261,1.0,63108,0,9/8/1977,M,Single,US Citizen,7/8/2013,,Fully Meets,4.4,5,0,0,3
"Cole, Spencer",10292,4.0,59144,1,8/12/1979,M,Single,US Citizen,7/11/2011,9/23/2016,Needs Improvement,2.0,3,0,5,16
"Corleone, Michael",10282,1.0,68051,0,12/17/1975,M,Divorced,US Citizen,7/20/2010,,Needs Improvement,4.13,2,0,3,3
"Corleone, Vito",10019,1.0,170500,0,3/19/1983,M,Single,US Citizen,1/5/2009,,Exceeds,3.7,5,0,0,15
"Cornett, Lisa ",10094,1.0,63381,0,3/31/1977,F,Married,US Citizen,1/5/2015,,Fully Meets,4.73,5,0,0,6
"Costello, Frank",10193,1.0,83552,0,8/26/1986,M,Married,US Citizen,3/30/2015,,Fully Meets,3.04,3,6,0,2
"Crimmings,   Jean",10132,,56149,0,4/10/1987,F,Single,US Citizen,7/6/2016,,Fully Meets,4.12,5,0,0,15
"Cross, Noah",10083,,92329,0,9/9/1965,M,Single,US Citizen,11/10/2014,,Fully Meets,5.0,3,4,0,5
"Daneault, Lynn",10099,1.0,65729,0,4/19/1990,F,Single,US Citizen,5/5/2014,,Fully Meets,4.62,4,0,0,8
"Daniele, Ann  ",10212,3.0,85028,0,1/18/1952,F,Married,US Citizen,11/10/2014,,Fully Meets,3.1,5,8,0,19
"Darson, Jene'ya ",10056,1.0,57583,0,11/5/1978,F,Married,US Citizen,7/2/2012,,Fully Meets,5.0,3,0,0,1
"Davis, Daniel",10143,1.0,56294,0,9/14/1979,M,Single,Eligible NonCitizen,11/7/2011,,Fully Meets,3.96,4,0,0,6
"Dee, Randy",10311,1.0,56991,0,4/15/1988,M,Married,US Citizen,7/9/2018,,Fully Meets,4.3,4,3,2,2
"DeGweck,  James",10070,5.0,55722,1,10/31/1977,M,Married,US Citizen,5/16/2011,6/8/2016,Fully Meets,5.0,4,0,0,14
"Del Bosque, Keyla",10155,1.0,101199,0,7/5/1979,F,Single,US Citizen,1/9/2012,,Fully Meets,3.79,5,5,0,8
"Delarge, Alex",10306,1.0,61568,0,11/2/1975,M,Single,US Citizen,9/29/2014,,PIP,1.93,3,0,6,5
"Demita, Carla",10100,,58275,1,2/25/1951,F,Separated,US Citizen,4/4/2011,11/4/2015,Fully Meets,4.62,5,0,0,1
"Desimone, Carl ",10310,1.0,53189,0,4/19/1967,M,Married,US Citizen,7/7/2014,,PIP,1.12,2,0,4,9
"DeVito, Tommy",10197,1.0,96820,0,9/4/1983,M,Single,US Citizen,2/15/2017,,Fully Meets,3.01,5,7,0,15
"Dickinson, Geoff ",10276,1.0,51259,0,11/15/1982,M,Single,US Citizen,5/12/2014,,Fully Meets,4.3,4,0,0,1
"Dietrich, Jenna  ",10304,1.0,59231,0,5/14/1987,F,Single,US Citizen,2/20/2012,,PIP,2.3,1,0,2,17
"DiNocco, Lily ",10284,1.0,61584,0,12/2/1978,F,Married,US Citizen,1/7/2013,,Needs Improvement,3.88,4,0,0,6
"Dobrin, Denisa  S",10207,1.0,46335,0,10/7/1986,F,Single,US Citizen,4/2/2012,,Fully Meets,3.4,5,0,0,15
"Dolan, Linda",10133,1.0,70621,0,7/18/1988,F,Married,US Citizen,1/5/2015,,Fully Meets,4.11,4,6,0,16
"Dougall, Eric",10028,1.0,138888,0,7/9/1970,M,Single,US Citizen,1/5/2014,,Exceeds,4.3,5,5,0,4
"Driver, Elle",10006,1.0,74241,0,11/8/1988,F,Single,US Citizen,1/10/2011,,Exceeds,4.77,5,0,0,14
"Dunn, Amy  ",10105,1.0,75188,0,11/28/1973,F,Single,US Citizen,9/18/2014,,Fully Meets,4.52,4,0,0,4
"Dunne, Amy",10211,1.0,62514,0,9/23/1973,F,Married,US Citizen,4/26/2010,,Fully Meets,2.9,3,0,0,6
"Eaton, Marianne",10064,5.0,60070,1,9/5/1991,F,Married,US Citizen,4/4/2011,6/6/2017,Fully Meets,5.0,3,0,0,7
"Engdahl, Jean",10247,1.0,48888,0,5/31/1974,M,Single,US Citizen,11/10/2014,,Fully Meets,4.7,5,0,0,8
"England, Rex",10235,1.0,54285,0,8/25/1978,M,Married,US Citizen,3/31/2014,,Fully Meets,4.2,3,0,0,3
"Erilus, Angela",10299,1.0,56847,0,8/25/1989,F,Separated,US Citizen,7/7/2014,,PIP,3.0,1,0,2,5
"Estremera, Miguel",10280,4.0,60340,1,9/2/1983,M,Single,US Citizen,4/2/2012,9/27/2018,Needs Improvement,5.0,4,0,5,16
"Evensen, April",10296,4.0,59124,1,5/6/1989,F,Single,US Citizen,2/17/2014,2/25/2018,Needs Improvement,2.3,3,0,5,19
"Exantus, Susan",10290,4.0,99280,1,5/15/1987,F,Married,US Citizen,5/2/2011,6/5/2013,Needs Improvement,2.1,5,4,4,19
"Faller, Megan ",10263,1.0,71776,0,9/22/1978,F,Married,US Citizen,7/7/2014,,Fully Meets,4.4,5,0,0,17
"Fancett, Nicole",10136,,65902,0,9/27/1987,F,Single,US Citizen,2/17/2014,,Fully Meets,4.0,4,0,0,7
"Ferguson, Susan",10189,5.0,57748,1,4/14/1955,F,Married,US Citizen,11/7/2011,5/17/2016,Fully Meets,3.13,3,0,0,16
"Fernandes, Nilson  ",10308,1.0,64057,0,10/18/1989,M,Married,US Citizen,5/11/2015,,PIP,1.56,5,0,6,15
"Fett, Boba",10309,1.0,53366,0,6/18/1987,M,Single,US Citizen,3/30/2015,,PIP,1.2,3,6,3,2
"Fidelia,  Libby",10049,1.0,58530,0,3/16/1981,F,Married,US Citizen,1/9/2012,,Fully Meets,5.0,5,0,0,19
"Fitzpatrick, Michael  J",10093,5.0,72609,1,10/1/1981,M,Single,US Citizen,5/16/2011,6/24/2013,Fully Meets,4.76,5,0,0,20
"Foreman, Tanya",10163,5.0,55965,1,11/8/1983,F,Married,US Citizen,4/4/2011,1/9/2013,Fully Meets,3.66,3,0,0,6
"Forrest, Alex",10305,1.0,70187,1,7/7/1975,M,Married,US Citizen,9/29/2014,8/19/2018,PIP,2.0,5,0,4,7
"Foss, Jason",10015,1.0,178000,0,7/5/1980,M,Single,US Citizen,4/15/2011,,Exceeds,5.0,5,5,0,15
"Foster-Baker, Amy",10080,1.0,99351,0,4/16/1979,F,Married,US Citizen,1/5/2009,,Fully Meets,5.0,3,2,0,3
"Fraval, Maruk ",10258,1.0,67251,0,8/28/1963,M,Single,US Citizen,9/6/2011,,Fully Meets,4.3,3,0,2,7
"Galia, Lisa",10273,1.0,65707,0,7/6/1968,F,Single,US Citizen,5/1/2010,,Fully Meets,4.7,4,5,0,1
"Garcia, Raul",10111,1.0,52249,0,9/15/1985,M,Single,US Citizen,3/30/2015,,Fully Meets,4.5,3,0,0,5
"Gaul, Barbara",10257,1.0,53171,0,12/2/1983,F,Single,US Citizen,5/16/2011,,Fully Meets,4.2,4,0,0,12
"Gentry, Mildred",10159,1.0,51337,0,10/1/1990,F,Married,US Citizen,3/30/2015,,Fully Meets,3.73,3,0,0,19
"Gerke, Melisa",10122,5.0,51505,1,5/15/1970,F,Divorced,US Citizen,11/7/2011,11/15/2016,Fully Meets,4.24,4,0,0,2
"Gill, Whitney  ",10142,4.0,59370,1,7/10/1971,F,Widowed,US Citizen,7/7/2014,9/5/2015,Fully Meets,3.97,4,0,0,7
"Gilles, Alex",10283,5.0,54933,1,8/9/1974,M,Married,US Citizen,4/2/2012,6/25/2015,Needs Improvement,3.97,4,0,3,15
"Girifalco, Evelyn",10018,1.0,57815,0,5/8/1980,F,Single,US Citizen,9/29/2014,,Exceeds,3.9,4,0,0,3
"Givens, Myriam",10255,1.0,61555,0,9/22/1989,F,Single,US Citizen,2/16/2015,,Fully Meets,4.5,5,0,0,20
"Goble, Taisha",10246,4.0,114800,1,10/23/1971,F,Single,US Citizen,2/16/2015,3/15/2015,Fully Meets,4.6,4,4,0,10
"Goeth, Amon",10228,1.0,74679,0,11/24/1989,M,,US Citizen,3/30/2015,,Fully Meets,4.3,5,7,0,20
"Gold, Shenice  ",10243,1.0,53018,0,6/18/1992,F,Single,US Citizen,11/11/2013,,Fully Meets,4.3,5,0,0,7
"Gonzalez, Cayo",10031,1.0,59892,0,9/29/1969,M,Divorced,US Citizen,7/11/2011,,Exceeds,4.5,4,0,0,1
"Gonzalez, Juan",10300,5.0,68898,1,10/12/1964,M,Married,US Citizen,4/26/2010,5/30/2011,PIP,3.0,3,0,3,10
"Gonzalez, Maria",10101,1.0,61242,0,4/16/1981,F,Separated,US Citizen,1/5/2015,,Fully Meets,4.61,4,5,0,11
"Good, Susan",10237,3.0,66825,0,5/25/1986,F,Married,US Citizen,5/12/2014,,Fully Meets,4.6,3,0,0,20
"Gordon, David",10051,1.0,48285,0,5/21/1979,M,Married,US Citizen,7/2/2012,,Fully Meets,5.0,3,0,0,2
"Gosciminski, Phylicia  ",10218,3.0,66149,0,12/8/1983,F,Separated,US Citizen,9/30/2013,,Fully Meets,4.4,5,0,0,1
"Goyal, Roxana",10256,3.0,49256,0,10/9/1974,F,Married,US Citizen,8/19/2013,,Fully Meets,4.1,5,0,0,3
"Gray, Elijiah  ",10098,1.0,62957,0,7/11/1981,M,Divorced,US Citizen,6/2/2015,,Fully Meets,4.63,3,0,0,2
"Gross, Paula",10059,5.0,63813,1,5/21/1983,F,Divorced,US Citizen,2/21/2011,1/11/2014,Fully Meets,5.0,5,0,0,17
"Gruber, Hans",10234,1.0,99020,0,6/30/1989,M,Married,US Citizen,4/20/2017,,Fully Meets,4.2,5,5,0,8
"Guilianno, Mike",10109,5.0,71707,1,2/9/1969,M,Single,US Citizen,3/7/2012,10/31/2014,Fully Meets,4.5,5,0,0,20
"Handschiegl, Joanne",10125,1.0,54828,0,3/23/1977,F,Married,US Citizen,11/28/2011,,Fully Meets,4.2,4,0,0,13
"Hankard, Earnest",10074,1.0,64246,0,8/10/1988,M,Single,US Citizen,11/11/2013,,Fully Meets,5.0,3,0,0,20
"Harrington, Christie ",10097,5.0,52177,1,8/18/1952,F,Single,US Citizen,1/9/2012,12/15/2015,Fully Meets,4.64,4,0,0,8
"Harrison, Kara",10007,1.0,62065,0,5/2/1974,F,Married,US Citizen,5/12/2014,,Exceeds,4.76,4,0,0,5
"Heitzman, Anthony",10129,1.0,46998,0,1/4/1984,M,Single,US Citizen,8/13/2012,,Fully Meets,4.17,4,0,0,1
"Hendrickson, Trina",10075,5.0,68099,1,8/27/1972,F,Single,US Citizen,1/10/2011,6/18/2013,Fully Meets,5.0,3,0,0,15
"Hitchcock, Alfred",10167,1.0,70545,0,9/14/1988,M,Married,US Citizen,8/18/2014,,Fully Meets,3.6,5,0,0,9
"Homberger, Adrienne  J",10195,5.0,63478,1,2/16/1984,F,Married,Non-Citizen,8/15/2011,4/7/2012,Fully Meets,3.03,5,0,0,16
"Horton, Jayne",10112,1.0,97999,0,2/21/1984,F,Single,US Citizen,3/30/2015,,Fully Meets,4.48,5,6,0,4
"Houlihan, Debra",10272,1.0,180000,0,3/17/1966,F,Married,US Citizen,5/5/2014,,Fully Meets,4.5,4,0,0,19
"Howard, Estelle",10182,1.0,49920,1,9/16/1985,F,Married,US Citizen,2/16/2015,4/15/2015,Fully Meets,3.24,3,4,0,6
"Hudson, Jane",10248,1.0,55425,0,6/10/1986,F,Single,US Citizen,2/20/2012,,Fully Meets,4.8,4,0,0,4
"Hunts, Julissa",10201,2.0,69340,0,3/11/1984,F,Single,US Citizen,6/6/2016,,Fully Meets,3.0,5,0,0,4
"Hutter, Rosalie",10214,2.0,64995,0,5/7/1992,F,Separated,US Citizen,6/5/2015,,Fully Meets,4.5,3,0,0,6
"Huynh, Ming",10160,5.0,68182,1,9/22/1976,F,Divorced,US Citizen,2/21/2011,4/1/2013,Fully Meets,3.72,3,0,0,18
"Immediato, Walter",10289,,83082,1,11/15/1976,M,Married,US Citizen,2/21/2011,9/24/2012,Needs Improvement,2.34,2,0,3,4
"Ivey, Rose ",10139,1.0,51908,0,1/28/1991,F,Single,US Citizen,8/19/2013,,Fully Meets,3.99,3,0,0,14
"Jackson, Maryellen",10227,1.0,61242,0,9/11/1972,F,Single,US Citizen,11/5/2012,,Fully Meets,4.1,3,0,0,7
"Jacobi, Hannah  ",10236,1.0,45069,0,3/22/1966,F,Divorced,US Citizen,9/30/2013,,Fully Meets,4.3,5,0,0,7
"Jeannite, Tayana",10009,1.0,60724,0,11/6/1986,F,Divorced,US Citizen,7/5/2011,,Exceeds,4.6,4,0,0,11
"Jhaveri, Sneha  ",10060,1.0,60436,0,4/13/1964,F,Separated,US Citizen,1/6/2014,,Fully Meets,5.0,5,0,0,9
"Johnson, George",10034,5.0,46837,1,8/19/1959,M,Married,US Citizen,11/7/2011,4/29/2018,Exceeds,4.7,4,0,0,9
"Johnson, Noelle ",10156,3.0,105700,0,11/7/1986,F,Married,US Citizen,1/5/2015,,Fully Meets,3.75,3,5,0,2
"Johnston, Yen",10036,1.0,63322,0,9/8/1969,F,Single,US Citizen,7/7/2014,,Exceeds,4.3,3,0,0,1
"Jung, Judy  ",10138,5.0,61154,1,4/17/1986,F,Married,US Citizen,1/10/2011,4/1/2016,Fully Meets,4.0,4,0,0,4
"Kampew, Donysha",10244,5.0,68999,1,11/11/1989,F,Single,US Citizen,11/7/2011,4/24/2014,Fully Meets,4.5,5,0,0,2
"Keatts, Kramer ",10192,1.0,50482,0,1/19/1976,M,Single,US Citizen,9/30/2013,,Fully Meets,3.07,4,0,0,10
"Khemmich, Bartholemew",10231,1.0,65310,0,11/27/1979,M,Single,US Citizen,8/19/2013,,Fully Meets,4.3,5,0,0,13
"King, Janet",10089,1.0,250000,0,9/21/1954,F,Married,US Citizen,7/2/2012,,Fully Meets,4.83,3,0,0,10
"Kinsella, Kathleen  ",10166,5.0,54005,1,12/8/1973,F,Married,US Citizen,9/26/2011,6/4/2015,Fully Meets,3.6,5,0,0,16
"Kirill, Alexandra  ",10170,5.0,45433,1,10/8/1970,F,Married,US Citizen,9/26/2011,1/9/2014,Fully Meets,3.49,4,0,0,6
"Knapp, Bradley  J",10208,1.0,46654,0,11/10/1977,M,Single,US Citizen,2/17/2014,,Fully Meets,3.1,3,0,0,3
"Kretschmer, John",10176,1.0,63973,0,2/2/1980,M,Married,US Citizen,1/10/2011,,Fully Meets,3.38,3,0,0,17
"Kreuger, Freddy",10165,1.0,71339,0,2/24/1969,M,Single,US Citizen,3/7/2011,,Fully Meets,3.65,5,0,0,20
"Lajiri,  Jyoti",10113,3.0,93206,0,4/23/1986,M,Married,US Citizen,11/10/2014,,Fully Meets,4.46,5,6,0,7
"Landa, Hans",10092,4.0,82758,1,7/1/1972,M,Married,US Citizen,1/10/2011,12/12/2015,Fully Meets,4.78,4,0,0,9
"Langford, Lindsey",10106,5.0,66074,1,7/25/1979,F,Divorced,US Citizen,1/7/2013,3/31/2014,Fully Meets,4.52,3,0,0,20
"Langton, Enrico",10052,1.0,46120,0,12/9/1986,M,Married,US Citizen,7/9/2012,,Fully Meets,5.0,5,0,0,13
"LaRotonda, William  ",10038,1.0,64520,0,4/26/1984,M,Divorced,US Citizen,1/6/2014,,Fully Meets,5.0,4,4,0,3
"Latif, Mohammed",10249,5.0,61962,1,5/9/1984,M,Married,US Citizen,4/2/2012,4/15/2013,Fully Meets,4.9,3,0,0,20
"Le, Binh",10232,1.0,81584,0,6/14/1987,F,Single,US Citizen,10/2/2016,,Fully Meets,4.1,5,7,0,2
"Leach, Dallas",10087,5.0,63676,1,1/17/1979,F,Single,US Citizen,9/26/2011,8/19/2018,Fully Meets,4.88,3,0,0,17
"LeBlanc, Brandon  R",10134,1.0,93046,0,6/10/1984,M,Married,US Citizen,1/5/2016,,Fully Meets,4.1,4,0,0,20
"Lecter, Hannibal",10251,1.0,64738,0,9/2/1982,M,Married,US Citizen,5/14/2012,,Fully Meets,4.1,3,0,0,10
"Leruth, Giovanni",10103,1.0,70468,0,12/27/1988,M,Separated,US Citizen,4/30/2012,,Fully Meets,4.53,3,0,0,16
"Liebig, Ketsia",10017,1.0,77915,0,10/26/1981,F,Married,US Citizen,9/30/2013,,Exceeds,4.1,3,0,0,11
"Linares, Marilyn ",10186,5.0,52624,1,3/26/1981,F,Married,US Citizen,7/5/2011,9/26/2018,Fully Meets,3.18,4,0,0,16
"Linden, Mathew",10137,3.0,63450,0,3/19/1979,M,Married,US Citizen,7/8/2013,,Fully Meets,4.0,3,0,0,7
"Lindsay, Leonara ",10008,1.0,51777,0,10/5/1988,F,Single,US Citizen,1/21/2011,,Exceeds,4.64,4,5,0,14
"Lundy, Susan",10096,5.0,67237,1,12/26/1976,F,,US Citizen,7/8/2013,9/15/2016,Fully Meets,4.65,4,0,0,15
"Lunquist, Lisa",10035,1.0,73330,0,3/28/1982,F,Single,US Citizen,8/19/2013,,Exceeds,4.2,4,0,0,19
"Lydon, Allison",10057,3.0,52057,0,10/22/1975,F,Married,US Citizen,2/16/2015,,Fully Meets,5.0,3,0,0,6
"Lynch, Lindsay",10004,5.0,47434,1,2/14/1973,F,Single,US Citizen,11/7/2011,11/14/2015,Exceeds,5.0,4,0,0,17
"MacLennan, Samuel",10191,5.0,52788,1,11/9/1972,M,Widowed,US Citizen,9/24/2012,9/26/2017,Fully Meets,3.08,4,0,0,18
"Mahoney, Lauren  ",10219,1.0,45395,0,7/7/1986,F,Single,US Citizen,1/6/2014,,Fully Meets,4.6,4,0,0,14
"Manchester, Robyn",10077,2.0,62385,0,8/25/1976,F,Married,US Citizen,5/11/2016,,Fully Meets,5.0,3,0,0,4
"Mancuso, Karen",10073,5.0,68407,1,12/10/1986,F,Married,US Citizen,7/5/2011,8/19/2012,Fully Meets,5.0,4,0,0,16
"Mangal, Debbie",10279,1.0,61349,0,11/7/1974,F,Married,US Citizen,11/11/2013,,Fully Meets,4.1,3,0,0,11
"Martin, Sandra",10110,1.0,105688,0,11/7/1987,F,Single,US Citizen,11/11/2013,,Fully Meets,4.5,5,4,0,14
"Maurice, Shana",10053,1.0,54132,0,11/22/1977,F,Married,US Citizen,5/31/2011,,Fully Meets,5.0,4,0,0,8
"Carthy, B'rigit",10076,1.0,55315,0,5/21/1987,F,Single,US Citizen,3/30/2015,,Fully Meets,5.0,5,0,0,16
"Mckenna, Sandy",10145,1.0,62810,0,1/7/1987,F,Married,US Citizen,1/7/2013,,Fully Meets,3.93,3,0,0,20
"McKinzie, Jac",10202,2.0,63291,0,7/1/1984,M,Married,US Citizen,7/6/2016,,Fully Meets,3.4,4,0,0,7
"Meads, Elizabeth",10128,5.0,62659,1,5/30/1968,F,Single,US Citizen,4/2/2012,11/11/2016,Fully Meets,4.18,4,0,0,17
"Medeiros, Jennifer",10068,1.0,55688,0,9/22/1976,F,Single,US Citizen,3/30/2015,,Fully Meets,5.0,4,0,0,10
"Miller, Brannon",10116,1.0,83667,0,8/10/1981,M,Single,US Citizen,8/16/2012,,Fully Meets,4.37,3,0,0,2
"Miller, Ned",10298,5.0,55800,1,6/29/1985,M,Single,US Citizen,8/15/2011,9/4/2014,PIP,3.0,2,0,6,6
"Monkfish, Erasumus",10213,1.0,58207,0,8/17/1992,M,Married,US Citizen,11/7/2011,,Fully Meets,3.7,3,0,0,14
"Monroe, Peter",10288,1.0,157000,0,10/5/1986,M,Married,Eligible NonCitizen,2/15/2012,,Needs Improvement,2.39,3,6,4,13
"Monterro, Luisa",10025,1.0,72460,0,4/24/1970,F,Single,US Citizen,5/13/2013,,Exceeds,4.7,3,0,0,1
"Moran, Patrick",10223,3.0,72106,0,12/3/1976,M,Single,,1/9/2012,,Fully Meets,4.1,4,0,0,12
"Morway, Tanya",10151,1.0,52599,0,4/4/1979,F,Married,US Citizen,2/16/2015,,Fully Meets,3.81,3,6,0,6
"Motlagh,  Dawn",10254,1.0,63430,0,7/7/1984,F,Divorced,US Citizen,4/1/2013,,Fully Meets,4.4,4,0,0,18
"Moumanil, Maliki ",10120,1.0,74417,0,12/1/1974,M,Separated,US Citizen,5/13/2013,,Fully Meets,4.29,5,0,0,11
